Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15150632,3873696,3873696,11276936,383317,357693,138784,6269538,416568,
15154992,3877648,3877648,11277344,383317,357693,139192,6269538,416568,
15147496,3869744,3869744,11277752,383317,357693,139600,6269538,416568,
15151856,3873704,3873704,11278152,383317,357693,140000,6269538,416568,
15156200,3877648,3877648,11278552,383317,357693,140400,6269538,416568,
15145016,3868808,3868808,11276208,383317,357693,137944,6269538,416568,
15150344,3873696,3873696,11276648,383317,357693,138384,6269538,416568,
15154704,3877648,3877648,11277056,383317,357693,138792,6269538,416568,
15145696,3868232,3868232,11277464,383317,357693,139200,6269538,416568,
15151568,3873704,3873704,11277864,383317,357693,139600,6269538,416568,
15155912,3877648,3877648,11278264,383317,357693,140000,6269538,416568,
15156344,3877648,3877648,11278696,383317,357693,140432,6269538,416568,
15147504,3871248,3871248,11276256,383317,357693,137992,6269538,416568,
15154344,3877648,3877648,11276696,383317,357693,138432,6269538,416568,
15154752,3877648,3877648,11277104,383317,357693,138840,6269538,416568,
15148760,3871248,3871248,11277512,383317,357693,139248,6269538,416568,
15151616,3873704,3873704,11277912,383317,357693,139648,6269538,416568,
15155992,3877648,3877648,11278344,383317,357693,140080,6269538,416568,
15150000,3871248,3871248,11278752,383317,357693,140488,6269538,416568,
15150008,3873704,3873704,11276304,383317,357693,138040,6269538,416568,
15154272,3877648,3877648,11276624,383317,357693,138472,6269538,416568,
15148272,3871248,3871248,11277024,383317,357693,138872,6269538,416568,
15151240,3873696,3873696,11277544,383317,357693,139280,6269538,416568,
15155592,3877648,3877648,11277944,383317,357693,139680,6269538,416568,
15148088,3869744,3869744,11278344,383317,357693,140080,6269538,416568,
15152448,3873704,3873704,11278744,383317,357693,140480,6269538,416568,
15153992,3877648,3877648,11276344,383317,357693,138080,6269538,416568,
15146520,3869744,3869744,11276776,383317,357693,138512,6269538,416568,
15150872,3873696,3873696,11277176,383317,357693,138912,6269538,416568,
15155232,3877648,3877648,11277584,383317,357693,139320,6269538,416568,
15146792,3868808,3868808,11277984,383317,357693,139720,6269538,416568,
15152120,3873704,3873704,11278416,383317,357693,140152,6269538,416568,
15156472,3877648,3877648,11278824,383317,357693,140560,6269538,416568,
15144640,3868232,3868232,11276408,383317,357693,138144,6269538,416568,
15150520,3873704,3873704,11276816,383317,357693,138552,6269538,416568,
15154864,3877648,3877648,11277216,383317,357693,138952,6269538,416568,
15155272,3877648,3877648,11277624,383317,357693,139360,6269538,416568,
15149272,3871248,3871248,11278024,383317,357693,139760,6269538,416568,
15156072,3877648,3877648,11278424,383317,357693,140160,6269538,416568,
15156504,3877648,3877648,11278856,383317,357693,140592,6269538,416568,
15147704,3871248,3871248,11276456,383317,357693,138192,6269538,416568,
15154512,3877648,3877648,11276864,383317,357693,138600,6269538,416568,
15154800,3877648,3877648,11277152,383317,357693,139000,6269538,416568,
15148808,3871248,3871248,11277560,383317,357693,139408,6269538,416568,
15151664,3873704,3873704,11277960,383317,357693,139808,6269538,416568,
15156152,3877648,3877648,11278504,383317,357693,140240,6269538,416568,
15137792,3861832,3861832,11275960,383317,357693,137696,6269538,416568,
15140480,3864280,3864280,11276200,383317,357693,137936,6269538,416568,
15145224,3868816,3868816,11276408,383317,357693,138144,6269538,416568,
15138216,3861840,3861840,11276376,383317,357693,138112,6269538,416568,
15143376,3867296,3867296,11276080,383317,357693,137816,6269538,416568,
15147808,3871248,3871248,11276560,383317,357693,138296,6269538,416568,
15140312,3863344,3863344,11276968,383317,357693,138704,6269538,416568,
15145936,3869752,3869752,11276184,383317,357693,138032,6269538,416568,
15150328,3873704,3873704,11276624,383317,357693,138472,6269538,416568,
15141888,3864864,3864864,11277024,383317,357693,138872,6269538,416568,
15147184,3869752,3869752,11277432,383317,357693,139280,6269538,416568,
15153680,3877648,3877648,11276032,383317,357693,137880,6269538,416568,
15145336,3868808,3868808,11276528,383317,357693,138376,6269538,416568,
15150752,3873704,3873704,11277048,383317,357693,138784,6269538,416568,
15155104,3877648,3877648,11277456,383317,357693,139192,6269538,416568,
15146096,3868232,3868232,11277864,383317,357693,139600,6269538,416568,
15149512,3871248,3871248,11278264,383317,357693,140000,6269538,416568,
15156312,3877648,3877648,11278664,383317,357693,140400,6269538,416568,
15153744,3877648,3877648,11276096,383317,357693,137944,6269538,416568,
15147784,3871248,3871248,11276536,383317,357693,138384,6269538,416568,
15154704,3877648,3877648,11277056,383317,357693,138792,6269538,416568,
15155112,3877648,3877648,11277464,383317,357693,139200,6269538,416568,
15149112,3871248,3871248,11277864,383317,357693,139600,6269538,416568,
15151960,3873696,3873696,11278264,383317,357693,140000,6269538,416568,
15156344,3877648,3877648,11278696,383317,357693,140432,6269538,416568,
15147504,3871248,3871248,11276256,383317,357693,137992,6269538,416568,
15150400,3873704,3873704,11276696,383317,357693,138432,6269538,416568,
15154752,3877648,3877648,11277104,383317,357693,138840,6269538,416568,
15147256,3869744,3869744,11277512,383317,357693,139248,6269538,416568,
15147888,3870088,3870088,11277800,383317,357693,139648,6269538,416568,
15155992,3877648,3877648,11278344,383317,357693,140080,6269538,416568,
15148496,3869744,3869744,11278752,383317,357693,140488,6269538,416568,
15150008,3873704,3873704,11276304,383317,357693,138040,6269538,416568,
15154384,3877648,3877648,11276736,383317,357693,138472,6269538,416568,
15146880,3869744,3869744,11277136,383317,357693,138872,6269538,416568,
15151248,3873704,3873704,11277544,383317,357693,139280,6269538,416568,
15155592,3877648,3877648,11277944,383317,357693,139680,6269538,416568,
15147152,3868808,3868808,11278344,383317,357693,140080,6269538,416568,
15152440,3873696,3873696,11278744,383317,357693,140480,6269538,416568,
15153992,3877648,3877648,11276344,383317,357693,138080,6269538,416568,
15144896,3868232,3868232,11276664,383317,357693,138512,6269538,416568,
15150768,3873704,3873704,11277064,383317,357693,138912,6269538,416568,
15155120,3877648,3877648,11277472,383317,357693,139320,6269538,416568,
15155520,3877648,3877648,11277872,383317,357693,139720,6269538,416568,
15149552,3871248,3871248,11278304,383317,357693,140152,6269538,416568,
15156360,3877648,3877648,11278712,383317,357693,140560,6269538,416568,
15153944,3877648,3877648,11276296,383317,357693,138144,6269538,416568,
15147952,3871248,3871248,11276704,383317,357693,138552,6269538,416568,
15150800,3873696,3873696,11277104,383317,357693,138952,6269538,416568,
15155160,3877648,3877648,11277512,383317,357693,139360,6269538,416568,
15149272,3871248,3871248,11278024,383317,357693,139760,6269538,416568,
15152008,3873696,3873696,11278312,383317,357693,140160,6269538,416568,
15156392,3877648,3877648,11278744,383317,357693,140592,6269538,416568,
15147592,3871248,3871248,11276344,383317,357693,138192,6269538,416568,
15150448,3873696,3873696,11276752,383317,357693,138600,6269538,416568,
15154800,3877648,3877648,11277152,383317,357693,139000,6269538,416568,
15147424,3869752,3869752,11277672,383317,357693,139408,6269538,416568,
15151768,3873696,3873696,11278072,383317,357693,139808,6269538,416568,
15156160,3877656,3877656,11278504,383317,357693,140240,6269538,416568,
15136296,3860336,3860336,11275960,383317,357693,137696,6269538,416568,
15140480,3864280,3864280,11276200,383317,357693,137936,6269538,416568,
15145216,3868808,3868808,11276408,383317,357693,138144,6269538,416568,
15137192,3860904,3860904,11276288,383317,357693,138136,6269538,416568,
15143376,3867296,3867296,11276080,383317,357693,137816,6269538,416568,
15147808,3871248,3871248,11276560,383317,357693,138296,6269538,416568,
15135176,3858216,3858216,11276960,383317,357693,138696,6269538,416568,
15146040,3869744,3869744,11276296,383317,357693,138032,6269538,416568,
15150424,3873696,3873696,11276728,383317,357693,138464,6269538,416568,
15150832,3873696,3873696,11277136,383317,357693,138872,6269538,416568,
15144840,3867296,3867296,11277544,383317,357693,139280,6269538,416568,
15153792,3877648,3877648,11276144,383317,357693,137880,6269538,416568,
15154288,3877648,3877648,11276640,383317,357693,138376,6269538,416568,
15148296,3871248,3871248,11277048,383317,357693,138784,6269538,416568,
15154992,3877648,3877648,11277344,383317,357693,139192,6269538,416568,
15155400,3877648,3877648,11277752,383317,357693,139600,6269538,416568,
15149400,3871248,3871248,11278152,383317,357693,140000,6269538,416568,
15152248,3873696,3873696,11278552,383317,357693,140400,6269538,416568,
15153744,3877648,3877648,11276096,383317,357693,137944,6269538,416568,
15147896,3871248,3871248,11276648,383317,357693,138384,6269538,416568,
15150760,3873704,3873704,11277056,383317,357693,138792,6269538,416568,
15155112,3877648,3877648,11277464,383317,357693,139200,6269538,416568,
15147608,3869744,3869744,11277864,383317,357693,139600,6269538,416568,
15151960,3873696,3873696,11278264,383317,357693,140000,6269538,416568,
15152728,3874032,3874032,11278696,383317,357693,140432,6269538,416568,
15145888,3869744,3869744,11276144,383317,357693,137992,6269538,416568,
15150288,3873704,3873704,11276584,383317,357693,138432,6269538,416568,
15154640,3877648,3877648,11276992,383317,357693,138840,6269538,416568,
15146208,3868808,3868808,11277400,383317,357693,139248,6269538,416568,
15151616,3873704,3873704,11277912,383317,357693,139648,6269538,416568,
15155992,3877648,3877648,11278344,383317,357693,140080,6269538,416568,
15147560,3868808,3868808,11278752,383317,357693,140488,6269538,416568,
15150008,3873704,3873704,11276304,383317,357693,138040,6269538,416568,
15154384,3877648,3877648,11276736,383317,357693,138472,6269538,416568,
15145368,3868232,3868232,11277136,383317,357693,138872,6269538,416568,
15148792,3871248,3871248,11277544,383317,357693,139280,6269538,416568,
15155480,3877648,3877648,11277832,383317,357693,139680,6269538,416568,
